Date,Weekday,Pick Up Location,Destination,Distance (m),Price ($),Surge Multiplier,Rideshare App,Ride Type,Temp (C),Cloudiness (%),Pressure (MB),Rainfall (in),Humidity (%),Wind Speed (mph)
2018-11-26 03:40:46,Monday,North End,West End,1.23,7.0,1.0,Lyft,Lyft,41.02,87.0,1014.4,0.0,92.0,1.59
2018-11-26 03:40:46,Monday,North End,West End,1.23,5.0,1.0,Lyft,Shared,41.02,87.0,1014.4,0.0,92.0,1.59
2018-11-26 03:40:46,Monday,North End,West End,1.23,13.5,1.0,Lyft,Lux,41.02,87.0,1014.4,0.0,92.0,1.59
2018-11-26 03:40:46,Monday,North End,West End,1.23,19.5,1.0,Lyft,Lux Black,41.02,87.0,1014.4,0.0,92.0,1.59
2018-11-26 03:40:46,Monday,Fenway,Theatre District,2.96,11.0,1.0,Lyft,Lyft,40.84,88.0,1014.35,0.0,93.0,1.31
2018-11-26 03:40:46,Monday,Fenway,Theatre District,2.96,16.5,1.0,Lyft,Lyft XL,40.84,88.0,1014.35,0.0,93.0,1.31
2018-11-26 03:40:46,Monday,Fenway,Theatre District,2.96,34.0,1.0,Lyft,Lux Black XL,40.84,88.0,1014.35,0.0,93.0,1.31
2018-11-26 03:40:46,Monday,Fenway,Beacon Hill,2.4,19.5,1.25,Lyft,Lyft XL,40.84,88.0,1014.35,0.0,93.0,1.31
2018-11-26 03:40:46,Monday,Fenway,West End,2.83,16.5,1.0,Lyft,Lyft XL,40.84,88.0,1014.35,0.0,93.0,1.31
2018-11-26 04:40:55,Monday,Haymarket Square,North Station,0.55,10.5,1.0,Lyft,Lux,40.58,87.0,1014.18,0.0,93.0,2.55
2018-11-26 04:40:55,Monday,North Station,North End,1.08,7.0,1.0,Uber,WAV,40.76,88.0,1013.96,0.0,93.0,2.72
2018-11-26 04:40:55,Monday,North Station,North End,1.08,10.5,1.0,Uber,UberXL,40.76,88.0,1013.96,0.0,93.0,2.72
2018-11-26 04:40:55,Monday,North Station,North End,1.08,7.0,1.0,Uber,UberX,40.76,88.0,1013.96,0.0,93.0,2.72
2018-11-26 04:40:55,Monday,Haymarket Square,North Station,0.54,10.5,1.0,Lyft,Lyft XL,40.58,87.0,1014.18,0.0,93.0,2.55
2018-11-26 04:40:55,Monday,Financial District,South Station,0.39,7.0,1.0,Uber,WAV,40.5,87.0,1014.18,0.0,94.0,2.58
2018-11-26 04:40:55,Monday,Financial District,Northeastern University,4.73,0.0,1.0,Uber,Taxi,40.5,87.0,1014.18,0.0,94.0,2.58
2018-11-26 04:41:36,Monday,North End,Theatre District,1.41,10.5,1.0,Uber,UberX,40.61,87.0,1014.18,0.0,93.0,2.58
2018-11-26 04:41:36,Monday,Beacon Hill,North End,1.35,10.0,1.0,Uber,UberPool,40.62,86.0,1014.17,0.0,93.0,2.58
2018-11-26 04:41:36,Monday,Beacon Hill,North End,1.35,15.0,1.0,Uber,Black,40.62,86.0,1014.17,0.0,93.0,2.58
2018-11-26 04:41:36,Monday,Beacon Hill,North End,1.35,0.0,1.0,Uber,Taxi,40.62,86.0,1014.17,0.0,93.0,2.58
2018-11-26 04:41:36,Monday,Beacon Hill,North End,1.35,9.5,1.0,Uber,UberX,40.62,86.0,1014.17,0.0,93.0,2.58
2018-11-26 04:41:36,Monday,Beacon Hill,North End,1.35,9.5,1.0,Uber,WAV,40.62,86.0,1014.17,0.0,93.0,2.58
2018-11-26 04:41:37,Monday,Boston University,Theatre District,2.98,8.5,1.0,Uber,UberPool,40.66,86.0,1014.17,0.0,92.0,2.57
2018-11-26 04:41:37,Monday,Boston University,Theatre District,2.98,9.5,1.0,Uber,UberX,40.66,86.0,1014.17,0.0,92.0,2.57
2018-11-26 04:41:37,Monday,Financial District,Fenway,4.56,19.5,1.0,Lyft,Lyft XL,40.49,87.0,1014.18,0.0,94.0,2.6
2018-11-26 04:41:37,Monday,Financial District,South Station,0.52,16.5,1.0,Lyft,Lux Black,40.49,87.0,1014.18,0.0,94.0,2.6
2018-11-26 04:41:37,Monday,Financial District,South Station,0.52,9.0,1.0,Lyft,Lyft XL,40.49,87.0,1014.18,0.0,94.0,2.6
2018-11-26 04:41:37,Monday,Financial District,South Station,0.52,26.0,1.0,Lyft,Lux Black XL,40.49,87.0,1014.18,0.0,94.0,2.6
2018-11-26 04:41:37,Monday,Northeastern University,North Station,3.22,0.0,1.0,Uber,Taxi,40.32,86.0,1014.17,0.0,94.0,2.62
2018-11-26 04:41:37,Monday,Financial District,South Station,0.39,10.5,1.0,Uber,UberXL,40.49,87.0,1014.18,0.0,94.0,2.6
2018-11-26 04:41:37,Monday,Financial District,Fenway,4.48,37.0,1.0,Uber,Black SUV,40.49,87.0,1014.18,0.0,94.0,2.6
2018-11-26 04:41:37,Monday,Financial District,Fenway,4.48,13.5,1.0,Uber,WAV,40.49,87.0,1014.18,0.0,94.0,2.6
2018-11-26 04:41:37,Monday,Financial District,South Station,0.52,7.0,1.0,Lyft,Lyft,40.49,87.0,1014.18,0.0,94.0,2.6
2018-11-26 04:41:38,Monday,Back Bay,Boston University,1.44,8.5,1.0,Uber,WAV,40.63,86.0,1014.17,0.0,93.0,2.59
